"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"ASV723" 21 29 11 6 26 18 6 11 16 19 9 10 10.5 6 2 2 10 10 2 5 6 2 5 1 7 2 1 2 4 4 3 0 3 10 2 0
"ASV724" 59 4 0 4 23 9 14 3 34 14 21 5 0 1 0 0 0 0 0 0 1 0 0 0 4 21 6 12 16 19 5 2 25 15 4 14
"ASV725" 7 10 10 3 10 3 6 5 16.5 0 12 5 10 9 20 14 16 9 18 6 14 10 12 11 12 8 16 13 20 15 26 3 13 11 17 8
"ASV726" 20 7 17 8 34 6 22 3 32 12 13 6 3 1 1 0 0 0 0 0 0 2 0 2 4 0 3 0 10 0 1 0 14 0 0 0
"ASV728" 3 14 1 9 1 3 3 8 2 6 2 11.5 8 16 9 13.5 10 11 15 25 13.5 14.5 11 5 5 7 8 9 4 7 0 5 9 8 3 8
"ASV730" 3 0 4 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 2 0 21 33 8 30 19 29 19 34 12 45.5 15 33.5
"ASV731" 0 0 0 0 0 1 1 0 1 0 0 0 18 1 48 12 13 1 28 20 17 4 11 6 8 1 15 8 6 4 18 10 20 4 20.5 6
"ASV732" 14 12 13 7 33 12 8 6 12 23 15 8.5 1 5 7 4 0 2 5 4 2 2 9 3 7 3 4 3 3 6 5 3 2 3 6 3
"ASV733" 76 6 3 4 41 1 63 1 23 3 21 0 1 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 4 2 0 0 13 1 2 0
"ASV734" 32 18 7 8 24 4 13 30 16 8 21 9 5 5 3 6 2 2 5 5 4 1 1 7 7 1 1 2 1 0 0 0 1 6 1 1
"ASV735" 0 0 1 2 3 2 1 0 1 2 2 0 41 6 25 1 25 2 21 2 70 10 30 4 7 3 3 0 5 3 1 1 9 1 5 1
"ASV736" 7 3 8 6 3 2 3 5 1 3 1 3 4 4 8 7 8 6 9 3 9 8 11 6 2 2 9 5 14 4 20 13 8 4 8 11
"ASV737" 0 0 0 0 0 0 0 6 0 0 0 0 19 15.5 7 15 12 7 1 10 4 11 2 16 23 18 25 8 21 26 17 6 13 20 11 8
"ASV739" 11 29 17 13 15 16 16 17 22 20 35 13.5 0 2 1 1 1 0 0 4 1 0 2 1 2 1 2 1 2 1 0 1 1 2 0 0
"ASV741" 22 11 29 26 21 26 16 19 18 25 18 16 1 1 1 0 0 0 9 2 2 0 1 0 2 0 0 1 0 0 1 0 0 1 0 0
"ASV742" 0 0 0 0 0 0 0 0 0 0 0 0 10 13 10 2 12 3 16 8 16 10.5 11 1 10 21 16 12 14 13 15 8 10.5 13 15 17
"ASV744" 0 4 2 4 2 3 0 3 3 3 1 1 8 10 16 7 17 8 19 7 15 6 6 7 9 7 14 5 3 10 2 8 8 1 4 1
"ASV745" 9 7 18 9 16 11 16.5 7 13 17 28 7 6 4 5 2 2 0 9 0 3 2 12 2 14 0 9 2 3 1 2 2 5 5 3 3
"ASV746" 10 11 13 12 9 18 13 13 12.5 12 20 14.5 19 8 18 9 12 12.5 7.5 6 11 15 10 6 6 2 5 4 5 4 8 6 1 0 4 3
"ASV747" 0 0 1 0 0 2 0 0 1 0 0 0 6 3.5 5 2 7 0 6 1 9 2 3 0 17.5 8 12 13 10 18 12 12 17 16.5 16 16
"ASV748" 2 3 1 1 1 6 1 4 2 2 2 2 19 18 20 8 13 18 12 5 12 11 12 12 9 5 6 12 5 8 1 8 13 10 9 3
"ASV749" 2 6 3 3 1 6 3 5 5 2 3 6 10 13.5 7 12 6 9 13 10 9 15 4 6 7 8 7 7 10 11 5 7 18 8 9 10
"ASV750" 0 1 1 1 1 1 2 3 2 0 1 0 1 0 2 1 1 4 0 0 2 2 1 0 33 33 25 21 28 20 15 8 28 15 19 17
"ASV751" 1 4 1 5 2 5 0 8 3 6 1 2 4 10 9 12.5 5 11 6 16 9 8.5 6 11 9 9 5 12.5 5 7 16 7 10 15 8 6
"ASV752" 0 0 1 0 0 1 1 1 0 0 0 0 27 5 48 7 16 5 13 22 13 13 12 9 0 1 3 8 1 6 2 4 1 1 4 2
"ASV753" 15 21 9 4 12 18 4 4 21 12 11 18 3 4 0 5 2 1.5 3 0 5 8 3 4 3 5 0 0 3 3 0 1 5 2 3 0
"ASV754" 20 12 17 13 18 9 29 8 13.5 8 13 9 4 11 2 5 7 4 3 6 5 5 4 14 8 8 8 3 6 6 11 3 11 7 8 12
"ASV756" 2 2 1 0 0 0 0 4 0 0 2 0 7 11 8 12 6 9 8 8 9 13 12 3 2 8.5 13 7 6 9 4 11 7 8 12.5 18
"ASV757" 14 25 20 11 17 11 20.5 24 28 18 10 13 3 1 3 1 2 0 2 1 2 3 3 1 4 2 1 1 7 1.5 0 0 2 0 2 3
"ASV2910" 14 0 10 0 1 0 2 0 2 4 0 0 0 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1
"ASV2911" 4 0 9 1 5 3 5 3 4 3 1 3 0 0 1 0 0 0 0 5 1 2 0 0 6 0 2 0 1 0 0 1 0 1.5 0 0
"ASV2913" 15 5 1 0 3 0 5 0 3 2 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0
"ASV2914" 3 3 4 1 4.5 3 4 4 1 4 2 1 2 2 1 1 1 1 2 1 4 2 5 0 2 1 1 1 4 1 2 0 1 4 1.5 0
"ASV2916" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 5 0 2 3 4 2 1 0 2 1 4
"ASV2919" 0 0 0 0 0 0 0 0 1 0 0 0 3 2 0 0 1 5 1 2 2 2 1 2 1 0 0 0 0 0 0 1 0 0 0 0
"ASV2922" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 4 3 3 0 4 1 2 4 1 4 4 0
"ASV2923" 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 2 0 6 0 1 0 0 0 0 0 0 2 2 1 0 0 0 1
"ASV2927" 4 1 0 0 0 0 1 0 0 0 1 1 1 0 0 2 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1
"ASV2928" 7.5 3 0 1 5 1 2 5 3 0 5 4 1 2 3 0 1 1 0 0 2 5 2 0 0 0 0 1 2 1 0 0 2 1 0 1
"ASV2930" 2 8 1 1 4 4 1 0 0 3 1 1 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0
"ASV2931" 4 0 0 0 2.5 0 0 0 3 0 3 0 0 0 2 0 2 0 0 0 1 2 0 0 0 0 1 0 2 1 0 0 0 0 2 0
"ASV2932" 1 3 3 5 1 2 1 9 2 0 2 4 9 5 10 9 4 3 3 12 7 6 15 11 9 8 16 15 1 5 6 15 5 9 7 16
"ASV2934" 2 3 2 3 2 1 1 1 2 0 1 1 1 2 0 2 1 2 1 4 0 3 1 0 1 1 0 6 1 1 1 2 2 0 3 0
"ASV2935" 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 3 2 2 1 3 3 8 2 0 0 0 0 0 0 0 0 0 0 0 0
"ASV2937" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 3 1 3 0 3 2 0 1 4 3 2
"ASV2941" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 6 0 2 0 4 0 3 2 2 2 0
"ASV2944" 2 2 3 2 1 1 1 1 1 2 4 2 1 2 2 1 2 2 3 1 2 2 0 3 6 2 0 4 3 1 1 1 1 0 0 3
"ASV2946" 0 0 0 0 0 0 0 0 0 0 0 0 1 1.5 3 1 1 3 5 3 2 1 0 0 1 2 0 0 4 4 1 1 3 7 1 0
"ASV2951" 1.5 1 1 0 2 0 0 1 0 0 0 0 2 0 1 2 1 1 1 5 6 1 3 3 2 1 0 1 5 0 2 1 0 1 0 0
"ASV2952" 2 1 7 4 5 2 3 2 1 1 7 2 0 1 3 0 1 1.5 0 0 0 0 0 0 5 0 1 1 1 1 0 0 0 0 0 0
"ASV2953" 1 2 1 0 2 1 2 1 2 1 0 2 1 2 0 0 0 0 2 1 1 1 1 1 0 0 3 0 3 0 0 0 0 0 0 0
"ASV2954" 0 0 0 0 0 0 0 0 0 0 0 0 1 4 5 3 5 2 5 4 2 1 2 5 1 0 0 0 0 0 0 1 1 0 2 0
"ASV2956" 1 0 3 1 2 2 1 0 1 4 1 2 0 0 0 2 0 1 1 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1
"ASV2957" 0 0 0 0 1 0 0 2 0 2 0 1 0 3 1 3 3 3 0 3 2 3 0 4 0 2 1 0 0 7 1 1 1 1 0 0
"ASV2961" 6 3 1 5 2 1 6 0 1 5 2 1 2 0 1 0 0 0 0 0 3 0 0 0 3 0 0 0 2 0 1 1 1 0 1 1
"ASV2962" 0 0 0 2 0 0 1 0 2 6 1 0 2 0 1 1 0 1.5 0 1 0 1 0 1 2 0 0 0 0 1 0 1 1 1 3 0
"ASV2963" 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 3 6 1 3 3 2 0 1 0 4 1 3
"ASV2964" 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 4 3 1 7 8 9 3 11 0 1 0 0 0 0 0 0 1 1 0 1 0
"ASV2966" 2 3 1 0 0 1 0 0 1 3 0 1 3 0 1 1 1 0 1 1 1 0 0 3 0 4 0 1 6 0 0 1 1 4 2 0
