"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"K21_3M10" 35848.7810141382 36114.5079758586 35686.8620203101 37017.652578642 37025.2450263982 36099.337807517 36632.0018141391 37226.2461408165 35467.4227940932 36407.0331462514 35005.0335283363 37219.7041140002 10890.864393262 20325.6346151279 5993.34785179292 23014.9642880131 22506.1946880154 19583.3887554442 5111.26651761823 13853.0073729174 0 22398.8953685332 2476.6186884539 16621.2976512167 52611.0180438386 37851.3005512826 52597.9584506859 25470.4597288324 47003.167089513 40956.2712762901 43720.0692412454 40948.1850701282 47219.0147812746 41595.8012962599 44551.8536997553 36912.5124930309
"K21_3M2" 15107.5436233805 15263.5306017425 14897.0197634034 16293.8468310101 16402.0548739064 15344.4555634745 16024.0629446841 16534.104865932 14694.4307011507 15618.0947327448 14115.4580938191 16490.7622340451 33064.1413728325 3577.26711363072 24374.8969742426 2629.89166894677 41259.1784103043 3618.68916963912 22746.7842212417 17051.540665532 22398.8953685332 0 23839.3570718646 20950.9701760356 73935.8119783335 51458.42587064 73412.4132195829 39738.3122242799 66740.5672632308 54723.2411835051 64165.7172294684 54347.4166742124 67135.2689571638 54951.3122516728 64758.3545489227 52131.1220875238
"K21_3S10" 37489.743418002 37748.3208314759 37325.1293272934 38659.3995844843 38673.9140181135 37737.8696039109 38281.218680994 38871.0353537422 37107.0393512661 38044.9835710092 36636.6244781918 38861.8611243623 9713.77639920568 21650.1462060764 5349.30933960633 24447.0401793543 21051.1624186816 20940.7099493304 4836.75298995927 14184.2215582415 2476.6186884539 23839.3570718646 0 16472.5839330235 51289.5244230751 36837.5529060553 51265.0744130907 24399.9628640138 45689.6649966487 39853.7372424318 42465.5780171546 40032.6782385019 45892.8816551116 40524.6793047516 43251.6944962326 35906.8058189591
"K21_3S2" 35140.0189104406 35283.7190613613 34937.8540770767 36284.2018698884 36390.0015754416 35383.2898467589 36032.6725937254 36509.0999539706 34745.7347371658 35634.9804062532 34173.121337955 36466.2403189042 23085.0425117842 17628.2607120893 13398.9923294505 21332.755709926 25909.3396203907 18149.9807389932 13677.9498900815 5239.01705530576 16621.2976512167 20950.9701760356 16472.5839330235 0 59437.6212046608 38148.0196375477 58578.3565769797 25803.7292918343 52180.5680968289 40706.4807405746 50359.3659290888 42074.2230929381 52163.491536146 41131.4535812242 50282.8774218144 39331.8202390695
"K22_1M10" 87791.2119403234 88052.2316346015 87630.1674407368 88962.3844679376 88966.7691345008 88047.4405209197 88579.7459979799 89169.0773927888 87415.252423282 88347.6399951919 86939.633618841 89165.4366301157 42659.6875172881 71373.6572056297 50775.6984743948 74860.6319804252 37081.7678427898 70808.2447541124 52447.7500015086 60650.4004597851 52611.0180438386 73935.8119783335 51289.5244230751 59437.6212046608 0 40253.3186750439 12884.4107024385 42425.7855483406 15427.3727554968 40289.2224071247 13918.1151622267 42884.8688606136 19459.7750810422 41727.1651278552 18527.6126450089 38301.0831998299
"K22_1M2" 65016.8597535525 65168.4016043608 64821.668636334 66155.7567404231 66231.985602074 65264.9216564586 65880.3627289009 66371.8733961934 64638.4212209974 65511.1227982126 64074.3524260493 66339.9027077489 34677.6452747258 48856.6707496427 35730.0189879302 52650.6756931489 29192.1728064622 48517.3870507352 37118.7249847747 39882.9400445246 37851.3005512826 51458.42587064 36837.5529060553 38148.0196375477 40253.3186750439 0 40412.4805723564 13270.7999088039 33261.25671268 17781.1995681776 33489.2007253206 9356.29427196296 37537.2017096042 23061.5804786334 35237.8257414831 9359.60269184126
"K22_1S10" 87139.3773664746 87389.8351748105 86974.0938410487 88311.8476434383 88323.4488606507 87397.7704252681 87937.9288471154 88519.5956201868 86760.6771919148 87693.8385707048 86274.0738433515 88511.8607363351 43184.0552941343 70851.8754362216 50700.5502004035 74207.2102414662 37655.7565594675 70357.2234065589 52510.669059093 59962.3664996932 52597.9584506859 73412.4132195829 51265.0744130907 58578.3565769797 12884.4107024385 40412.4805723564 0 42423.1351160638 22859.9097959142 40519.4239987826 20593.7333357557 42421.3518366882 22748.6778570215 42052.4610275802 21614.7750316845 37912.4599091799
"K22_1S2" 53760.0234587357 53932.5840651652 53566.7775813976 54925.7659479411 54994.1000481842 54014.7922741057 54629.0600979811 55144.0105473702 53373.8773601758 54275.0396925545 52813.2080449314 55114.8558557093 23463.2673723246 37012.6587541577 23000.4049039585 40796.7775189241 20257.604752575 36674.394686544 24296.5126046191 27306.6259505877 25470.4597288324 39738.3122242799 24399.9628640138 25803.7292918343 42425.7855483406 13270.7999088039 42423.1351160638 0 34892.6817481475 20734.1266868589 34265.1213250908 17985.1794112733 38308.6323926132 24137.8514744776 35800.6398609261 15293.5799708422
"K22_2M10" 80959.123793276 81191.0310105695 80787.5691863443 82128.1286618624 82156.671555342 81214.9507161162 81778.2089883724 82340.0006888915 80578.3569067182 81500.8557636619 80073.1523661041 82328.8801310246 38311.6759211662 64072.996260661 44784.1267164386 67952.351129055 30837.1255737366 63520.9843771593 46293.8761347033 53585.4659174506 47003.167089513 66740.5672632308 45689.6649966487 52180.5680968289 15427.3727554968 33261.25671268 22859.9097959142 34892.6817481475 0 30852.2364483648 12341.1346910509 38474.7714995984 21555.1049785759 31650.6530893204 20698.6821244574 34268.4642752371
"K22_2M2" 68423.1345744159 68571.8474744139 68227.5376446335 69570.0762397464 69651.573049544 68677.3228104263 69302.1651133886 69786.3525044876 68041.9743878387 68920.3464916852 67470.7060111074 69751.0787029257 37403.077344143 52059.4487772016 38670.7245969897 55922.8286292341 30597.3613053008 51763.416212285 40115.8402877048 42711.0060505685 40956.2712762901 54723.2411835051 39853.7372424318 40706.4807405746 40289.2224071247 17781.1995681776 40519.4239987826 20734.1266868589 30852.2364483648 0 34450.4512120093 23870.0898819778 38046.1444159498 6833.78596447786 36255.732757993 21382.4776799912
"K22_2S10" 77985.1254619931 78234.8442024942 77823.9569469361 79144.40067956 79156.3141315673 78239.4213786031 78777.1661657542 79352.9828110649 77611.5770200651 78531.3282295569 77130.0713667414 79349.2101713173 34583.8483227641 61604.2651315233 41911.3861887456 65188.2140722228 29756.6147025009 61065.2298060203 43464.6240422301 51397.1743769493 43720.0692412454 64165.7172294684 42465.5780171546 50359.3659290888 13918.1151622267 33489.2007253206 20593.7333357557 34265.1213250908 12341.1346910509 34450.4512120093 0 37572.4363882252 12315.4812330951 35443.300006298 10638.9123335706 32183.1780789747
"K22_2S2" 67112.5133630628 67271.4261425578 66928.4542339179 68215.2976043654 68275.6821194225 67352.9057405894 67929.3394316599 68421.9477476571 66749.2439939503 67598.7440750871 66215.7984485827 68394.3510769959 37729.7665313136 51964.7368918564 39213.1179340884 55303.7419002185 33970.6145700815 51608.988809777 40553.2709659023 43481.1261911174 40948.1850701282 54347.4166742124 40032.6782385019 42074.2230929381 42884.8688606136 9356.29427196296 42421.3518366882 17985.1794112733 38474.7714995984 23870.0898819778 37572.4363882252 0 41031.1598419081 29408.9925466923 38472.098076346 7379.87902160969
"K22_3M10" 80796.5802795267 81039.5729904848 80636.2720392013 81950.8322567371 81967.1032997397 81053.5011042206 81594.199042046 82159.1862726151 80424.9688762537 81339.4731308928 79939.0751437117 82154.1534869757 38465.7407153261 64439.6102876029 45012.8186983946 67881.5639459067 32846.436901362 64095.7543565372 46705.6079818641 53597.0566090465 47219.0147812746 67135.2689571638 45892.8816551116 52163.491536146 19459.7750810422 37537.2017096042 22748.6778570215 38308.6323926132 21555.1049785759 38046.1444159498 12315.4812330951 41031.1598419081 0 38500.8567850064 5648.63689237049 35134.7192250944
"K22_3M2" 68517.8897172824 68664.0842080906 68325.0990170734 69651.767255359 69734.3143642597 68769.6395304271 69390.3518757515 69866.4513470548 68140.6221883118 69008.676597747 67575.4791911864 69831.4995034034 38239.7170463526 52304.949206079 39299.5150287185 56137.6656944312 31775.6369162844 52056.2837002396 40687.5873435309 43148.3436212057 41595.8012962599 54951.3122516728 40524.6793047516 41131.4535812242 41727.1651278552 23061.5804786334 42052.4610275802 24137.8514744776 31650.6530893204 6833.78596447786 35443.300006298 29408.9925466923 38500.8567850064 0 37006.3403566647 26302.9869645092
"K22_3S10" 78395.3294399813 78642.2471863023 78233.3273679744 79556.2018764961 79570.1148535217 78652.1385497449 79193.3035060376 79764.9083807519 78021.1799726287 78941.6781026789 77535.8435223873 79759.7398964375 35704.8448449159 62142.9962653726 42605.3527321577 65534.1872648174 31056.5568308873 61738.151072457 44338.9329096607 51543.6812961216 44551.8536997553 64758.3545489227 43251.6944962326 50282.8774218144 18527.6126450089 35237.8257414831 21614.7750316845 35800.6398609261 20698.6821244574 36255.732757993 10638.9123335706 38472.098076346 5648.63689237049 37006.3403566647 0 32420.6467389884
"K22_3S2" 65260.990110072 65442.9622576121 65078.0743810365 66396.7622557914 66446.6307440266 65509.2651241314 66087.2119953872 66606.7874361171 64888.3850799555 65769.4984729719 64357.774165687 66583.8878016698 32772.0119478712 49682.1419744575 35210.0710200934 53033.89943718 29388.0883826489 49291.9068079478 36689.9475750327 40651.5214089271 36912.5124930309 52131.1220875238 35906.8058189591 39331.8202390695 38301.0831998299 9359.60269184126 37912.4599091799 15293.5799708422 34268.4642752371 21382.4776799912 32183.1780789747 7379.87902160969 35134.7192250944 26302.9869645092 32420.6467389884 0
