"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"ASV103" 13 1 1 2 0 0 1 0 1 10 0 2 24 2 23 78 11 9 14 14 24 13 3 93 155 259 92 32 138 187 48 37 63 150 19 53
"ASV107" 0 2 3 0 0 0 0 1 3 0 13 0 19 39 28 15 4 38 26 31 39 49 15 45 26 181 85 92 73 97 42 102 56 42 9 38
"ASV101" 0 0 2 1 2 0 0 0 3 1 3 0 2 121 15 30 2 0 0 82 4 15 0 28 603 0 103 2 18 191 166 9 70 0 60 21
"ASV100" 43 25 41 18 8 14 16 2 18 10 78 4 39 0 20 10 9 41 34 97 129 14 61 10 70 37 25 40 42 28 37 178 0 48 33 8
"ASV149" 6 28 43 7 14 0 5 2 9 27 5 6 41 60 54 95 8 72 0 46 58 113 20 85 126 51 34 25 54 118 12 15 20 73 42 31
"ASV102" 4 8 34 23 16 8 39 47 43 17 64 42 60 37 48 42 40 48 3 41 42 52 52 1 7 46 101 4 2 6 80 19 8 2 2 17
"ASV114" 48 59 155 30 22 125 40 45 77 38 129 55 2 51 32 0 31 1 27 11 22 3 57 73 26 0 5 0 1 10 7 0 7 1 91 0
"ASV123" 6 7 172 0 6 0 1 14 7 0 0 0 39 1 53 0 153 114 10 0 32 8 148 0 0 0 22 1 46 15 0 0 0 0 233 0
"ASV122" 0 3 0 1 0 5 0 0 0 0 2 1 28 1 12 40 25 30 1 8 14 21 41 11 63 112 40 11 51 11 473 8 11 40 12 27
"ASV121" 10 21 29 1 0 5 0 15 19 11 4 28 14 3 16 34 83 18 15 4 23 4 12 89 291 13 33 50 76 8 7 8 11 70 12 48
"ASV133" 103 48 49 6 16 28 34 58 43 25 57 47 73 0 3 3 0 43 31 156 11 35 25 95 2 1 0 4 1 1 0 38 4 0 3 25
"ASV137" 6 0 2 6 17 0 9 8 8 2 2 18 45 64 52 0 5 62 0 11 5 12 40 14 10 24 62 103 139 4 13 51 22 13 59 99
"ASV195" 12 1 16 1 1 1 3 5 2 9 1 12 71 24 51 22 23 13 4 23 3 53 44 6 19 96 15 43 73 43 43 33 36 84 105 34
"ASV126" 31 25 98 29 19 48 19 57 11 11 66 61 16 6 8 19 33 0 33 20 92 53 38 60 50 0 24 0 71 10 13 100 22 8 25 24
"ASV124" 0 0 0 0 1 0 0 0 1 1 1 2 0 0 1 1 0 0 0 1 0 2 0 0 1 46 8 24 45 571 6 40 7 123 6 65
"ASV131" 21 6 11 3 4 12 5 2 83 2 16 23 1 2 0 2 4 1 3 1 3 1 3 2 3 47 17 49 4 155 1 29 0 542 27 83
"ASV130" 27 35 32 42 12 80 57 36 55 26 45 43 3 1 1 0 46 0 2 0 35 0 81 44 19 15 54 1 68 57 0 0 0 0 12 13
"ASV151" 0 2 0 0 0 0 0 0 1 0 6 0 0 1 1 3 0 2 0 0 1 0 2 0 8 103 4 69 167 235 77 23 12 121 0 31
"ASV145" 0 1 0 0 1 1 0 0 0 4 0 1 39 11 31 47 43 122 3 86 24 52 57 14 41 29 77 14 52 58 61 20 58 28 27 35
"ASV146" 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 14 50 1 70 75 360 8 18 1 212 33 77
"ASV143" 26 47 40 25 17 12 0 7 43 15 163 15 46 33 20 48 0 14 49 14 4 1 28 26 10 0 1 7 132 21 22 1 30 0 0 37
"ASV152" 0 15 0 3 0 2 1 0 0 1 0 0 0 1 1 0 0 5 0 0 0 0 2 0 0 0 0 0 0 238 5 501 1 45 1 0
"ASV159" 72 70 49 12 14 41 42 19 63 38 105 32 39 12 7 1 0 0 9 1 95 12 1 74 1 0 2 1 50 6 25 0 46 0 28 10
"ASV171" 3 7 0 14 0 0 0 0 0 5 0 6 0 16 0 9 8 3 51 5 2 43 0 3 37 140 73 17 88 53 1 8 11 110 26 9
"ASV168" 45 87 49 7 20 58 39 22 59 41 99 31 0 6 3 3 20 0 0 17 20 8 16 34 3 29 21 0 30 0 2 0 0 0 0 0
"ASV164" 6 4 4 0 3 2 0 4 3 1 0 6 5 0 22 0 15 36 6 2 51 0 15 23 58 33 40 42 68 48 3 15 26 62 29 55
"ASV174" 12 15 0 8 0 17 8 0 6 8 6 7 5 7 15 49 0 10 3 0 26 1 31 17 37 179 1 3 0 4 0 0 0 1 4 52
"ASV1016" 0 1 2 0 0 0 1 0 12 0 4 4 0 13 8 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0
"ASV1019" 0 2 0 0 0 0 0 2 0 0 0 0 0 2 6 0 0 0 19 0 0 3 0 0 0 12 0 0 0 0 0 0 0 3 0 0
"ASV1022" 0 0 0 0 0 0 0 8 6 0 5 0 0 0 0 7 0 0 2 0 0 0 0 3 2 26 11 0 0 0 0 0 1 2 1 1
"ASV1025" 0 0 3 0 7 1 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 0 1 0 12 0 0 0 19 0
"ASV1026" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 29 0 17 0 0 0 0 0 0 0
"ASV1028" 0 0 3 0 0 0 2 6 4 0 2 2 1 3 0 1 3 3 0 1 3 1 25 0 0 2 7 0 0 0 10 0 0 0 0 0
"ASV1031" 0 1 4 0 0 0 6 0 0 0 0 0 19 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1036" 0 0 0 0 0 0 0 0 0 1 3 0 0 0 3 0 0 1 0 3 13 0 0 0 0 1 3 0 0 0 15 0 0 8 0 0
"ASV1313" 0 0 0 0 0 11 2 0 0 0 1 2 0 0 4 0 15 0 6 2 0 0 0 0 2 5 4 0 1 0 1 0 0 0 0 6
"ASV1041" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1042" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 1 0 0 0 0 18 0 0 0 0 1 0 0 0 0 23
"ASV1045" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49 0 0 0 0 0 0 0 0
"ASV1046" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 61 0 0 12 0 0 0 0 0
"ASV1047" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39 0 0 0 1 6 0 0 0 0 0 0 0 0 0 0
"ASV1049" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0
"ASV1050" 0 0 2 0 0 0 2 0 0 0 1 2 0 12 0 0 0 1 15 11 0 0 9 2 11 0 0 2 34 0 1 18 2 36 10 0
"ASV1052" 0 6 0 0 0 0 3 1 7 1 23 11 14 0 2 0 0 0 0 11 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"ASV1057" 0 0 0 3 0 7 0 1 0 11 4 1 0 0 0 0 0 22 0 14 0 4 0 0 0 0 0 5 0 0 0 0 0 0 0 1
"ASV1067" 0 0 0 0 8 0 0 0 0 0 0 0 0 62 0 0 0 0 0 0 0 0 8 0 0 1 0 0 0 0 0 0 0 0 0 0
"ASV1073" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 1 30 4 0 7 0 0 12 0 0
"ASV1074" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41 0 0 0 0 0 0 0 0 0 0
