"Kingdom" "Phyla" "Class" "Order" "Family" "Genus" "Species" "lowest"
"ASV174" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Podosporaceae" "Triangularia" "Triangularia_longicaudata" "s__Triangularia_longicaudata"
"ASV1016" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Mucor" "Mucor_hiemalis" "s__Mucor_hiemalis"
"ASV1019" "Fungi" "Ascomycota" "Sordariomycetes" "unclassified" "unclassified" "unclassified" "unclassified" "c__Sordariomycetes"
"ASV1022" "Fungi" "Aphelidiomycota" "Aphelidiomycetes" "GS16" "unclassified" "unclassified" "GS16_sp" "s__GS16_sp"
"ASV1025" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "unclassified" "unclassified" "f__Didymellaceae"
"ASV1026" "Fungi" "Ascomycota" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "p__Ascomycota"
"ASV1028" "Fungi" "Basidiomycota" "Agaricomycetes" "unclassified" "unclassified" "unclassified" "unclassified" "c__Agaricomycetes"
"ASV1031" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Actinomucor" "Actinomucor_elegans" "s__Actinomucor_elegans"
"ASV1036" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Hypocreaceae" "Trichoderma" "unclassified" "g__Trichoderma"
"ASV1313" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Hypocreaceae" "Trichoderma" "unclassified" "g__Trichoderma"
"ASV1041" "Fungi" "Ascomycota" "Saccharomycetes" "Saccharomycetales" "Dipodascaceae" "Geotrichum" "Geotrichum_silvicola" "s__Geotrichum_silvicola"
"ASV1042" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "unclassified" "unclassified" "unclassified" "o__Hypocreales"
"ASV1045" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Penicillium" "unclassified" "g__Penicillium"
"ASV1046" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Psathyrellaceae" "Coprinopsis" "Coprinopsis_pseudonivea" "s__Coprinopsis_pseudonivea"
"ASV1047" "Fungi" "Ascomycota" "Sordariomycetes" "Coniochaetales" "Coniochaetaceae" "Coniochaeta" "Coniochaeta_verticillata" "s__Coniochaeta_verticillata"
"ASV1049" "Fungi" "Ascomycota" "Saccharomycetes" "Saccharomycetales" "Trichomonascaceae" "Trichomonascus" "Trichomonascus_ciferrii" "s__Trichomonascus_ciferrii"
"ASV1050" "Fungi" "Basidiomycota" "Microbotryomycetes" "Microbotryales" "Ustilentylomataceae" "Ustilentyloma" "unclassified" "g__Ustilentyloma"
"ASV1052" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Actinomucor" "Actinomucor_elegans" "s__Actinomucor_elegans"
"ASV1057" "Fungi" "Basidiomycota" "Ustilaginomycetes" "Ustilaginales" "Ustilaginaceae" "Ustilago" "unclassified" "g__Ustilago"
"ASV1067" "Fungi" "Ascomycota" "Saccharomycetes" "Saccharomycetales" "Trichomonascaceae" "Trichomonascus" "Trichomonascus_ciferrii" "s__Trichomonascus_ciferrii"
"ASV1073" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Bionectriaceae" "Acremonium" "Acremonium_pinkertoniae" "s__Acremonium_pinkertoniae"
"ASV1074" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Stachybotryaceae" "unclassified" "unclassified" "f__Stachybotryaceae"
"ASV1075" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "unclassified" "unclassified" "unclassified" "o__Pleosporales"
"ASV1078" "Fungi" "Ascomycota" "Saccharomycetes" "Saccharomycetales" "Phaffomycetaceae" "Barnettozyma" "Barnettozyma_californica" "s__Barnettozyma_californica"
"ASV1081" "Fungi" "Ascomycota" "Sordariomycetes" "Cephalothecales" "Cephalothecaceae" "Phialemonium" "Phialemonium_atrogriseum" "s__Phialemonium_atrogriseum"
"ASV1083" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Rasamsonia" "Rasamsonia_composticola" "s__Rasamsonia_composticola"
"ASV1099" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Lentitheciaceae" "unclassified" "unclassified" "f__Lentitheciaceae"
"ASV1100" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymosphaeriaceae" "unclassified" "unclassified" "f__Didymosphaeriaceae"
"ASV1102" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "unclassified" "unclassified" "unclassified" "o__Pleosporales"
"ASV1103" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Penicillium" "unclassified" "g__Penicillium"
"ASV1111" "Fungi" "Rozellomycota" "Rozellomycotina_cls_Incertae_sedis" "Branch02" "unclassified" "unclassified" "Branch02_sp" "s__Branch02_sp"
"ASV1117" "Fungi" "Rozellomycota" "Rozellomycotina_cls_Incertae_sedis" "Branch02" "unclassified" "unclassified" "Branch02_sp" "s__Branch02_sp"
"ASV1118" "Fungi" "Ascomycota" "Saccharomycetes" "Saccharomycetales" "Debaryomycetaceae" "Debaryomyces" "Debaryomyces_prosopidis" "s__Debaryomyces_prosopidis"
"ASV1119" "Fungi" "Ascomycota" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "p__Ascomycota"
"ASV1120" "Fungi" "Basidiomycota" "Malasseziomycetes" "Malasseziales" "Malasseziaceae" "Malassezia" "Malassezia_slooffiae" "s__Malassezia_slooffiae"
"ASV1129" "Fungi" "Ascomycota" "Sordariomycetes" "Ophiostomatales" "Ophiostomataceae" "Sporothrix" "Sporothrix_inflata" "s__Sporothrix_inflata"
"ASV1133" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Mucoraceae" "Pilaira" "Pilaira_anomala" "s__Pilaira_anomala"
"ASV1134" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Barrmaeliaceae" "Barrmaelia" "unclassified" "g__Barrmaelia"
"ASV1137" "Fungi" "Ascomycota" "Sordariomycetes" "Coniochaetales" "Coniochaetaceae" "Coniochaeta" "Coniochaeta_fasciculata" "s__Coniochaeta_fasciculata"
"ASV1138" "Fungi" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Fungi"
