"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"ASV1103" 0 8 0 1 0 2 1 0 0 0 0 0 0 1 0 0 9 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1111" 0 0 0 0 0 2 1 0 0 0 3 1 2 0 0 1 2 1 0 0 2 3 7 0 0 2 5 0 0 0 5 2 0 0 4 0
"ASV1117" 2 0 0 0 0 1 1 0 0 0 2 1 2 0 3 1 1 1 0 2 2 2 4 0 0 2 7 0 0 0 7 11 2 0 3 0
"ASV1118" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 3 0 0 0 0 0 27 0 0 0 0 5 0 4 2 0 0 0 1
"ASV1119" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1120" 0 0 0 0 0 0 0 0 0 0 0 0 0 63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1129" 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1133" 0 0 4 0 0 2 0 11 5 0 0 0 2 0 0 0 0 3 11 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0
"ASV1134" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV1137" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
