"Kingdom" "Phyla" "Class" "Order" "Family" "Genus" "lowest"
"ASV5308" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Lysobacterales" "Lysobacteraceae" "Stenotrophomonas" "g__Stenotrophomonas"
"ASV5309" "Bacteria" "Bacillota" "Thermovenabulia" "Thermovenabulales" "Thermosediminibacteraceae" "Thermosediminibacter" "g__Thermosediminibacter"
"ASV5312" "Bacteria" "Acidobacteriota" "Aminicenantia" "Aminicenantales" "Aminicenantaceae" "Aminicenans" "g__Aminicenans"
"ASV5313" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Hyphomicrobiales" "Hyphomicrobiales_Incertae_Sedis" "Bauldia" "g__Bauldia"
"ASV5314" "Bacteria" "Chloroflexota" "Anaerolineae" "Anaerolineales" "Anaerolineaceae" "unclassified" "f__Anaerolineaceae"
"ASV5315" "Bacteria" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Bacteria"
"ASV5319" "Bacteria" "Actinomycetota" "Actinobacteria" "Pseudonocardiales" "Pseudonocardiaceae" "Pseudonocardia" "g__Pseudonocardia"
"ASV5320" "Bacteria" "Bacillota" "Limnochordia" "Hydrogenispora" "Hydrogenispora_insertae_sedis_order" "Hydrogenispora_insertae_sedis_family" "g__Hydrogenispora_insertae_sedis_family"
"ASV5322" "Bacteria" "Chloroflexota" "Chloroflexia" "Thermomicrobiales" "Thermomicrobiaceae" "Sphaerobacter" "g__Sphaerobacter"
"ASV5325" "Bacteria" "Myxococcota" "Myxococcia" "Myxococcales" "Anaeromyxobacteraceae" "Anaeromyxobacter" "g__Anaeromyxobacter"
"ASV5328" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Thermobacillus" "g__Thermobacillus"
"ASV5330" "Bacteria" "Actinomycetota" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Nocardioides" "g__Nocardioides"
"ASV5331" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Thermobacillus" "g__Thermobacillus"
"ASV5337" "Bacteria" "Bacillota" "Bacilli" "Thermoactinomycetales" "Thermoactinomycetaceae" "Staphylospora" "g__Staphylospora"
"ASV5340" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Ureibacillus" "g__Ureibacillus"
"ASV5341" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "Acinetobacter" "g__Acinetobacter"
"ASV5345" "Bacteria" "Chloroflexota" "Dehalococcoidia" "S085" "S085_insertae_sedis_family" "S085_insertae_sedis_genus" "g__S085_insertae_sedis_genus"
"ASV5346" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Massilia" "g__Massilia"
"ASV5348" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacterales_insertae_sedis_family" "Vicinamibacterales_insertae_sedis_genus" "g__Vicinamibacterales_insertae_sedis_genus"
"ASV5352" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Thermobacillus" "g__Thermobacillus"
"ASV5353" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Thermobacillus" "g__Thermobacillus"
"ASV5354" "Bacteria" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Bacteria"
"ASV5355" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "unclassified" "unclassified" "unclassified" "c__Alphaproteobacteria"
"ASV5359" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Methylophilaceae" "Methylotenera" "g__Methylotenera"
"ASV5360" "Bacteria" "Myxococcota" "Polyangiia" "Haliangiales" "Haliangiaceae" "Haliangiaceae_insertae_sedis_genus" "g__Haliangiaceae_insertae_sedis_genus"
"ASV5361" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Paenibacillus" "g__Paenibacillus"
"ASV5362" "Bacteria" "Actinomycetota" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" "unclassified" "f__Solirubrobacteraceae"
"ASV5365" "Bacteria" "Bacillota" "Bacillota_insertae_sedis_class" "Bacillota_insertae_sedis_order" "Bacillota_insertae_sedis_family" "Bacillota_insertae_sedis_genus" "g__Bacillota_insertae_sedis_genus"
"ASV5369" "Bacteria" "Bacillota" "Clostridia" "Thermincolales" "Thermincolaceae" "Thermincola" "g__Thermincola"
"ASV5372" "Bacteria" "Bacillota" "Bacilli" "Bacilli_insertae_sedis_order" "Bacilli_insertae_sedis_family" "Bacilli_insertae_sedis_genus" "g__Bacilli_insertae_sedis_genus"
"ASV5379" "Bacteria" "Bacillota" "Bacillota_insertae_sedis_class" "Bacillota_insertae_sedis_order" "Bacillota_insertae_sedis_family" "Bacillota_insertae_sedis_genus" "g__Bacillota_insertae_sedis_genus"
"ASV101" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Steroidobacterales" "Steroidobacteraceae" "Steroidobacter" "g__Steroidobacter"
"ASV102" "Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Saprospiraceae" "Saprospiraceae_insertae_sedis_genus" "g__Saprospiraceae_insertae_sedis_genus"
"ASV103" "Bacteria" "Myxococcota" "Myxococcia" "Myxococcales" "Vulgatibacteraceae" "Vulgatibacter" "g__Vulgatibacter"
"ASV104" "Bacteria" "Gemmatimonadota" "S0134_terrestrial_group" "S0134_terrestrial_group_insertae_sedis_order" "S0134_terrestrial_group_insertae_sedis_family" "S0134_terrestrial_group_insertae_sedis_genus" "g__S0134_terrestrial_group_insertae_sedis_genus"
"ASV105" "Bacteria" "Actinomycetota" "Acidimicrobiia" "Actinomarinales" "Actinomarinales_insertae_sedis_family" "Actinomarinales_insertae_sedis_genus" "g__Actinomarinales_insertae_sedis_genus"
"ASV106" "Bacteria" "Actinomycetota" "Actinobacteria" "Streptosporangiales" "Thermomonosporaceae" "Thermobispora" "g__Thermobispora"
"ASV107" "Bacteria" "Chloroflexota" "Anaerolineae" "Ardenticatenales" "Ardenticatenaceae" "Ardenticatenaceae_insertae_sedis_genus" "g__Ardenticatenaceae_insertae_sedis_genus"
"ASV108" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Tistrellales" "Geminicoccaceae" "Geminicoccaceae_insertae_sedis_genus" "g__Geminicoccaceae_insertae_sedis_genus"
"ASV109" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacterales_insertae_sedis_family" "Vicinamibacterales_insertae_sedis_genus" "g__Vicinamibacterales_insertae_sedis_genus"
"ASV110" "Bacteria" "Actinomycetota" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "unclassified" "f__Micromonosporaceae"
"ASV111" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Alphaproteobacteria_insertae_sedis_order" "Alphaproteobacteria_insertae_sedis_family" "Alphaproteobacteria_insertae_sedis_genus" "g__Alphaproteobacteria_insertae_sedis_genus"
"ASV112" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Steroidobacterales" "Steroidobacteraceae" "Steroidobacter" "g__Steroidobacter"
"ASV113" "Bacteria" "Chloroflexota" "Anaerolineae" "Anaerolineales" "Anaerolineaceae" "Anaerolinea" "g__Anaerolinea"
"ASV114" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacteraceae" "Vicinamibacteraceae_insertae_sedis_genus" "g__Vicinamibacteraceae_insertae_sedis_genus"
"ASV115" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "unclassified" "f__Bacillaceae"
"ASV116" "Bacteria" "Planctomycetota" "Phycisphaerae" "Phycisphaerales" "Phycisphaeraceae" "SM1A02" "g__SM1A02"
"ASV117" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Gammaproteobacteria_Incertae_Sedis" "unclassified" "Acidibacter" "g__Acidibacter"
"ASV118" "Bacteria" "Actinomycetota" "Actinobacteria" "Streptosporangiales" "Streptosporangiaceae" "Thermopolyspora" "g__Thermopolyspora"
"ASV119" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Niallia" "g__Niallia"
"ASV120" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Ureibacillus" "g__Ureibacillus"
"ASV121" "Bacteria" "Planctomycetota" "Phycisphaerae" "Phycisphaerales" "Phycisphaeraceae" "Phycisphaeraceae_insertae_sedis_genus" "g__Phycisphaeraceae_insertae_sedis_genus"
"ASV122" "Bacteria" "Chloroflexota" "Anaerolineae" "Anaerolineales" "Anaerolineaceae" "Anaerolineaceae_insertae_sedis_genus" "g__Anaerolineaceae_insertae_sedis_genus"
"ASV123" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacterales_insertae_sedis_family" "Vicinamibacterales_insertae_sedis_genus" "g__Vicinamibacterales_insertae_sedis_genus"
"ASV124" "Bacteria" "Actinomycetota" "Actinobacteria" "Streptosporangiales" "Thermomonosporaceae" "Thermomonospora" "g__Thermomonospora"
"ASV125" "Bacteria" "Planctomycetota" "Planctomycetes" "Pirellulales" "Pirellulaceae" "Pirellulaceae_insertae_sedis_genus" "g__Pirellulaceae_insertae_sedis_genus"
"ASV126" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Planococcaceae" "Lysinibacillus" "g__Lysinibacillus"
"ASV127" "Bacteria" "Methylomirabilota" "Methylomirabilia" "Rokubacteriales" "Rokubacteriales_insertae_sedis_family" "Rokubacteriales_insertae_sedis_genus" "g__Rokubacteriales_insertae_sedis_genus"
"ASV128" "Bacteria" "Rhodothermota" "Rhodothermia" "Rhodothermales" "Rhodothermaceae" "Rhodothermus" "g__Rhodothermus"
"ASV129" "Bacteria" "Planctomycetota" "Phycisphaerae" "Tepidisphaerales" "WD2101_soil_group" "WD2101_soil_group_insertae_sedis_genus" "g__WD2101_soil_group_insertae_sedis_genus"
"ASV130" "Bacteria" "Planctomycetota" "Phycisphaerae" "Phycisphaerales" "Phycisphaeraceae" "CL500-3" "g__CL500-3"
"ASV131" "Bacteria" "Myxococcota" "Myxococcia" "Myxococcales" "Vulgatibacteraceae" "Vulgatibacter" "g__Vulgatibacter"
"ASV132" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "R7C24" "R7C24_insertae_sedis_family" "R7C24_insertae_sedis_genus" "g__R7C24_insertae_sedis_genus"
"ASV133" "Bacteria" "Bacillota" "Limnochordia" "Hydrogenispora" "Hydrogenispora_insertae_sedis_order" "Hydrogenispora_insertae_sedis_family" "g__Hydrogenispora_insertae_sedis_family"
"ASV134" "Bacteria" "Gemmatimonadota" "Gemmatimonadia" "Gemmatimonadales" "Gemmatimonadaceae" "Gemmatimonadaceae_insertae_sedis_genus" "g__Gemmatimonadaceae_insertae_sedis_genus"
"ASV135" "Bacteria" "Actinomycetota" "Actinobacteria" "Streptosporangiales" "unclassified" "unclassified" "o__Streptosporangiales"
"ASV136" "Bacteria" "Gemmatimonadota" "Gemmatimonadia" "Gemmatimonadales" "Gemmatimonadaceae" "Gemmatimonadaceae_insertae_sedis_genus" "g__Gemmatimonadaceae_insertae_sedis_genus"
"ASV137" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacterales_insertae_sedis_family" "Vicinamibacterales_insertae_sedis_genus" "g__Vicinamibacterales_insertae_sedis_genus"
"ASV138" "Bacteria" "Actinomycetota" "Actinobacteria" "Streptosporangiales" "Streptosporangiaceae" "Thermopolyspora" "g__Thermopolyspora"
"ASV139" "Bacteria" "Bacillota" "Bacilli" "Aneurinibacillales" "Aneurinibacillaceae" "Aneurinibacillus" "g__Aneurinibacillus"
"ASV140" "Bacteria" "Actinomycetota" "Actinobacteria" "Streptosporangiales" "Thermomonosporaceae" "Thermomonospora" "g__Thermomonospora"
"ASV141" "Bacteria" "Chloroflexota" "Anaerolineae" "Caldilineales" "Caldilineaceae" "Litorilinea" "g__Litorilinea"
"ASV142" "Bacteria" "Bacillota" "Limnochordia" "Hydrogenispora" "Hydrogenispora_insertae_sedis_order" "Hydrogenispora_insertae_sedis_family" "g__Hydrogenispora_insertae_sedis_family"
"ASV143" "Bacteria" "Acidobacteriota" "Blastocatellia" "Blastocatellales" "Blastocatellaceae" "Blastocatella" "g__Blastocatella"
"ASV144" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "EPR3968-O8a-Bc78" "EPR3968-O8a-Bc78_insertae_sedis_family" "EPR3968-O8a-Bc78_insertae_sedis_genus" "g__EPR3968-O8a-Bc78_insertae_sedis_genus"
"ASV145" "Bacteria" "Acidobacteriota" "Blastocatellia" "11-24" "11-24_insertae_sedis_family" "11-24_insertae_sedis_genus" "g__11-24_insertae_sedis_genus"
"ASV146" "Bacteria" "NB1-j" "NB1-j_insertae_sedis_class" "NB1-j_insertae_sedis_order" "NB1-j_insertae_sedis_family" "NB1-j_insertae_sedis_genus" "g__NB1-j_insertae_sedis_genus"
"ASV147" "Bacteria" "Verrucomicrobiota" "Verrucomicrobiia" "Pedosphaerales" "Pedosphaeraceae" "Oikopleura" "g__Oikopleura"
"ASV148" "Bacteria" "Myxococcota" "Polyangiia" "Polyangiales" "Polyangiaceae" "Sorangium" "g__Sorangium"
"ASV149" "Bacteria" "Gemmatimonadota" "S0134_terrestrial_group" "S0134_terrestrial_group_insertae_sedis_order" "S0134_terrestrial_group_insertae_sedis_family" "S0134_terrestrial_group_insertae_sedis_genus" "g__S0134_terrestrial_group_insertae_sedis_genus"
"ASV150" "Bacteria" "Bacillota" "Limnochordia" "Hydrogenispora" "Hydrogenispora_insertae_sedis_order" "Hydrogenispora_insertae_sedis_family" "g__Hydrogenispora_insertae_sedis_family"
"ASV151" "Bacteria" "Bacillota" "Clostridia" "Clostridiales" "Clostridiaceae" "Clostridium" "g__Clostridium"
"ASV152" "Bacteria" "Bacteroidota" "Bacteroidia" "Cytophagales" "Microscillaceae" "Microscillaceae_insertae_sedis_genus" "g__Microscillaceae_insertae_sedis_genus"
"ASV153" "Bacteria" "Gemmatimonadota" "S0134_terrestrial_group" "S0134_terrestrial_group_insertae_sedis_order" "S0134_terrestrial_group_insertae_sedis_family" "S0134_terrestrial_group_insertae_sedis_genus" "g__S0134_terrestrial_group_insertae_sedis_genus"
"ASV154" "Bacteria" "Chloroflexota" "unclassified" "unclassified" "unclassified" "unclassified" "p__Chloroflexota"
"ASV155" "Bacteria" "Gemmatimonadota" "S0134_terrestrial_group" "S0134_terrestrial_group_insertae_sedis_order" "S0134_terrestrial_group_insertae_sedis_family" "S0134_terrestrial_group_insertae_sedis_genus" "g__S0134_terrestrial_group_insertae_sedis_genus"
"ASV156" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "EPR3968-O8a-Bc78" "EPR3968-O8a-Bc78_insertae_sedis_family" "EPR3968-O8a-Bc78_insertae_sedis_genus" "g__EPR3968-O8a-Bc78_insertae_sedis_genus"
"ASV157" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Parageobacillus" "g__Parageobacillus"
"ASV160" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacterales_insertae_sedis_family" "Vicinamibacterales_insertae_sedis_genus" "g__Vicinamibacterales_insertae_sedis_genus"
"ASV161" "Bacteria" "Chloroflexota" "unclassified" "unclassified" "unclassified" "unclassified" "p__Chloroflexota"
"ASV162" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "B1-7BS" "B1-7BS_insertae_sedis_genus" "g__B1-7BS_insertae_sedis_genus"
"ASV163" "Bacteria" "Actinomycetota" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "Longispora" "g__Longispora"
"ASV164" "Bacteria" "Chloroflexota" "Chloroflexia" "Thermomicrobiales" "Thermomicrobiaceae" "Thermomicrobium" "g__Thermomicrobium"
"ASV165" "Bacteria" "Actinomycetota" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "unclassified" "f__Micromonosporaceae"
"ASV166" "Bacteria" "Chloroflexota" "Anaerolineae" "Caldilineales" "Caldilineaceae" "Caldilineaceae_insertae_sedis_genus" "g__Caldilineaceae_insertae_sedis_genus"
"ASV167" "Bacteria" "Chloroflexota" "TK10" "TK10_insertae_sedis_order" "TK10_insertae_sedis_family" "TK10_insertae_sedis_genus" "g__TK10_insertae_sedis_genus"
"ASV168" "Bacteria" "Chloroflexota" "Anaerolineae" "Caldilineales" "Caldilineaceae" "Caldilineaceae_insertae_sedis_genus" "g__Caldilineaceae_insertae_sedis_genus"
"ASV170" "Bacteria" "Rhodothermota" "Rhodothermia" "Rhodothermales" "Rhodothermaceae" "Rhodothermus" "g__Rhodothermus"
"ASV171" "Bacteria" "Rhodothermota" "Rhodothermia" "Rhodothermales" "Rhodothermaceae" "Rhodothermus" "g__Rhodothermus"
"ASV172" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Nitrosomonadaceae" "MND1" "g__MND1"
"ASV173" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "R7C24" "R7C24_insertae_sedis_family" "R7C24_insertae_sedis_genus" "g__R7C24_insertae_sedis_genus"
"ASV174" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacteraceae" "Luteitalea" "g__Luteitalea"
"ASV175" "Bacteria" "Bacillota" "Thermoanaerobacteria" "Thermoanaerobacterales" "Thermoanaerobacteraceae" "Brockia" "g__Brockia"
"ASV176" "Bacteria" "Bacillota" "Bacilli" "Thermoactinomycetales" "Thermoactinomycetaceae" "Thermoactinomycetaceae_insertae_sedis_genus" "g__Thermoactinomycetaceae_insertae_sedis_genus"
"ASV177" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Neobacillus" "g__Neobacillus"
"ASV179" "Bacteria" "Chloroflexota" "Anaerolineae" "Aggregatilineales" "A4b" "A4b_insertae_sedis_genus" "g__A4b_insertae_sedis_genus"
"ASV180" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacteraceae" "Vicinamibacteraceae_insertae_sedis_genus" "g__Vicinamibacteraceae_insertae_sedis_genus"
"ASV181" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Hyphomicrobiales" "Xanthobacteraceae" "Rhodoplanes" "g__Rhodoplanes"
"ASV182" "Bacteria" "Actinomycetota" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "unclassified" "f__Micromonosporaceae"
"ASV183" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Niallia" "g__Niallia"
"ASV184" "Bacteria" "Chloroflexota" "Dehalococcoidia" "SAR202_clade" "SAR202_clade_insertae_sedis_family" "SAR202_clade_insertae_sedis_genus" "g__SAR202_clade_insertae_sedis_genus"
"ASV185" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Nitrosomonadaceae" "MND1" "g__MND1"
"ASV186" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "unclassified" "f__Bacillaceae"
"ASV187" "Bacteria" "Bacillota" "Limnochordia" "Hydrogenispora" "Hydrogenispora_insertae_sedis_order" "Hydrogenispora_insertae_sedis_family" "g__Hydrogenispora_insertae_sedis_family"
"ASV188" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Ureibacillus" "g__Ureibacillus"
"ASV189" "Bacteria" "Bacteroidota" "Bacteroidia" "Chitinophagales" "Chitinophagaceae" "Puia" "g__Puia"
"ASV190" "Bacteria" "Actinomycetota" "Actinobacteria" "unclassified" "unclassified" "unclassified" "c__Actinobacteria"
"ASV191" "Bacteria" "Acidobacteriota" "Acidobacteriae" "AKIW659" "AKIW659_insertae_sedis_family" "AKIW659_insertae_sedis_genus" "g__AKIW659_insertae_sedis_genus"
"ASV192" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Niallia" "g__Niallia"
"ASV193" "Bacteria" "Planctomycetota" "Phycisphaerae" "Pla1_lineage" "Pla1_lineage_insertae_sedis_family" "Pla1_lineage_insertae_sedis_genus" "g__Pla1_lineage_insertae_sedis_genus"
"ASV194" "Bacteria" "Gemmatimonadota" "S0134_terrestrial_group" "S0134_terrestrial_group_insertae_sedis_order" "S0134_terrestrial_group_insertae_sedis_family" "S0134_terrestrial_group_insertae_sedis_genus" "g__S0134_terrestrial_group_insertae_sedis_genus"
"ASV196" "Bacteria" "Bacillota" "unclassified" "unclassified" "unclassified" "unclassified" "p__Bacillota"
"ASV197" "Bacteria" "Bacillota" "unclassified" "unclassified" "unclassified" "unclassified" "p__Bacillota"
"ASV198" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacterales_insertae_sedis_family" "Vicinamibacterales_insertae_sedis_genus" "g__Vicinamibacterales_insertae_sedis_genus"
"ASV199" "Bacteria" "Myxococcota" "Polyangiia" "Polyangiales" "BIrii41" "BIrii41_insertae_sedis_genus" "g__BIrii41_insertae_sedis_genus"
"ASV200" "Bacteria" "Bacillota" "Limnochordia" "Limnochordales" "Limnochordaceae" "Limnochordaceae_insertae_sedis_genus" "g__Limnochordaceae_insertae_sedis_genus"
"ASV201" "Bacteria" "Bacillota" "Limnochordia" "Hydrogenispora" "Hydrogenispora_insertae_sedis_order" "Hydrogenispora_insertae_sedis_family" "g__Hydrogenispora_insertae_sedis_family"
"ASV5867" "Bacteria" "Methylomirabilota" "Methylomirabilia" "Rokubacteriales" "Rokubacteriales_insertae_sedis_family" "Rokubacteriales_insertae_sedis_genus" "g__Rokubacteriales_insertae_sedis_genus"
"ASV5868" "Bacteria" "Chloroflexota" "OLB14" "OLB14_insertae_sedis_order" "OLB14_insertae_sedis_family" "OLB14_insertae_sedis_genus" "g__OLB14_insertae_sedis_genus"
"ASV5870" "Bacteria" "Actinomycetota" "Acidimicrobiia" "Actinomarinales" "Actinomarinales_insertae_sedis_family" "Actinomarinales_insertae_sedis_genus" "g__Actinomarinales_insertae_sedis_genus"
"ASV5871" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Ureibacillus" "g__Ureibacillus"
"ASV5872" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Caldibacillus" "g__Caldibacillus"
"ASV5876" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Rhodospirillales" "Magnetospirillaceae" "Magnetospirillaceae_insertae_sedis_genus" "g__Magnetospirillaceae_insertae_sedis_genus"
"ASV5880" "Bacteria" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Bacteria"
"ASV5882" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Ectothiorhodospirales" "Thioalkalispiraceae" "Sulfurivermis" "g__Sulfurivermis"
"ASV5887" "Bacteria" "Planctomycetota" "Planctomycetes" "Pirellulales" "Pirellulaceae" "Mariniblastus" "g__Mariniblastus"
"ASV5889" "Bacteria" "Bacillota" "Bacilli" "Thermoactinomycetales" "Thermoactinomycetaceae" "Thermoactinomyces" "g__Thermoactinomyces"
"ASV5891" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Pseudomonadales" "Porticoccaceae" "C1-B045" "g__C1-B045"
"ASV5892" "Bacteria" "Bacillota" "Limnochordia" "Limnochordales" "Limnochordaceae" "Limnochordaceae_insertae_sedis_genus" "g__Limnochordaceae_insertae_sedis_genus"
"ASV5894" "Bacteria" "Bacteroidota" "Bacteroidia" "Cytophagales" "Cyclobacteriaceae" "Imperialibacter" "g__Imperialibacter"
"ASV5895" "Bacteria" "Bacillota" "Clostridia" "Caldicoprobacterales" "Caldicoprobacteraceae" "Caldicoprobacter" "g__Caldicoprobacter"
"ASV5897" "Bacteria" "Bacillota" "Thermovenabulia" "Thermovenabulales" "Thermosediminibacteraceae" "unclassified" "f__Thermosediminibacteraceae"
"ASV5898" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "unclassified" "f__Bacillaceae"
"ASV5899" "Bacteria" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Bacteria"
"ASV5900" "Bacteria" "Bacillota" "Desulfotomaculia" "Desulfotomaculales" "Pelotomaculaceae" "Pelotomaculum" "g__Pelotomaculum"
"ASV5902" "Bacteria" "Bacteroidota" "Bacteroidia" "Cytophagales" "Microscillaceae" "Chryseolinea" "g__Chryseolinea"
"ASV5905" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Steroidobacterales" "Woeseiaceae" "JTB255_marine_benthic_group" "g__JTB255_marine_benthic_group"
"ASV5909" "Bacteria" "Bacillota" "Clostridia" "Caldicoprobacterales" "Caldicoprobacteraceae" "Caldicoprobacter" "g__Caldicoprobacter"
"ASV5910" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "unclassified" "f__Bacillaceae"
"ASV5913" "Bacteria" "Actinomycetota" "Actinobacteria" "Streptosporangiales" "unclassified" "unclassified" "o__Streptosporangiales"
"ASV5914" "Bacteria" "Planctomycetota" "Phycisphaerae" "Tepidisphaerales" "CPla-3_termite_group" "CPla-3_termite_group_insertae_sedis_genus" "g__CPla-3_termite_group_insertae_sedis_genus"
"ASV5933" "Bacteria" "Patescibacteria" "Parcubacteria" "unclassified" "unclassified" "unclassified" "c__Parcubacteria"
"ASV5938" "Bacteria" "Actinomycetota" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Nocardioides" "g__Nocardioides"
"ASV5939" "Bacteria" "Bacillota" "Clostridia" "Lachnospirales" "Lachnospiraceae" "unclassified" "f__Lachnospiraceae"
"ASV5940" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "EPR3968-O8a-Bc78" "EPR3968-O8a-Bc78_insertae_sedis_family" "EPR3968-O8a-Bc78_insertae_sedis_genus" "g__EPR3968-O8a-Bc78_insertae_sedis_genus"
"ASV5942" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Burkholderiaceae" "Burkholderia-Caballeronia-Paraburkholderia" "g__Burkholderia-Caballeronia-Paraburkholderia"
"ASV5947" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Flavobacterium" "g__Flavobacterium"
"ASV5951" "Bacteria" "Planctomycetota" "Phycisphaerae" "Phycisphaerales" "AKAU3564_sediment_group" "AKAU3564_sediment_group_insertae_sedis_genus" "g__AKAU3564_sediment_group_insertae_sedis_genus"
"ASV5954" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Asticcacaulis" "g__Asticcacaulis"
"ASV5955" "Bacteria" "Actinomycetota" "Actinobacteria" "Pseudonocardiales" "Pseudonocardiaceae" "Lentzea" "g__Lentzea"
"ASV5956" "Bacteria" "Bacillota" "Clostridia" "Oscillospirales" "Ruminococcaceae" "Caproiciproducens" "g__Caproiciproducens"
"ASV5960" "Bacteria" "Chloroflexota" "Anaerolineae" "Aggregatilineales" "unclassified" "unclassified" "o__Aggregatilineales"
"ASV5964" "Bacteria" "Myxococcota" "Polyangiia" "Polyangiales" "Sandaracinaceae" "Sandaracinus" "g__Sandaracinus"
"ASV5965" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Hyphomicrobiales" "Xanthobacteraceae" "Bradyrhizobium" "g__Bradyrhizobium"
"ASV5967" "Bacteria" "Chloroflexota" "Chloroflexia" "Thermomicrobiales" "Thermomicrobiaceae" "Sphaerobacter" "g__Sphaerobacter"
"ASV5970" "Bacteria" "Actinomycetota" "Actinobacteria" "unclassified" "unclassified" "unclassified" "c__Actinobacteria"
