"Kingdom" "Phyla" "Class" "Order" "Family" "Genus" "lowest"
"ASV707" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "unclassified" "f__Bacillaceae"
"ASV708" "Bacteria" "Actinomycetota" "Actinobacteria" "Micrococcales" "Intrasporangiaceae" "Ornithinicoccus" "g__Ornithinicoccus"
"ASV709" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "PLTA13" "PLTA13_insertae_sedis_family" "PLTA13_insertae_sedis_genus" "g__PLTA13_insertae_sedis_genus"
"ASV710" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Planococcaceae" "Solibacillus" "g__Solibacillus"
"ASV711" "Bacteria" "Bacillota" "Clostridia" "Peptostreptococcales-Tissierellales" "Family_XI" "Tepidimicrobium" "g__Tepidimicrobium"
"ASV712" "Bacteria" "Bacillota" "Limnochordia" "Limnochordales" "Limnochordaceae" "Limnochordaceae_insertae_sedis_genus" "g__Limnochordaceae_insertae_sedis_genus"
"ASV713" "Bacteria" "Bacillota" "Clostridia" "Lutispora" "Lutispora_insertae_sedis_order" "Lutispora_insertae_sedis_family" "g__Lutispora_insertae_sedis_family"
"ASV714" "Bacteria" "Chloroflexota" "Anaerolineae" "Ardenticatenales" "Ardenticatenales_insertae_sedis_family" "Ardenticatenales_insertae_sedis_genus" "g__Ardenticatenales_insertae_sedis_genus"
"ASV715" "Bacteria" "Patescibacteria" "Saccharimonadia" "Saccharimonadales" "YM_S32_TM7_50_20" "YM_S32_TM7_50_20_insertae_sedis_genus" "g__YM_S32_TM7_50_20_insertae_sedis_genus"
"ASV716" "Bacteria" "Acidobacteriota" "Blastocatellia" "11-24" "11-24_insertae_sedis_family" "11-24_insertae_sedis_genus" "g__11-24_insertae_sedis_genus"
"ASV717" "Bacteria" "Actinomycetota" "Thermoleophilia" "Solirubrobacterales" "Solirubrobacteraceae" "Solirubrobacter" "g__Solirubrobacter"
"ASV718" "Bacteria" "Planctomycetota" "Phycisphaerae" "Phycisphaerales" "Phycisphaeraceae" "SM1A02" "g__SM1A02"
"ASV719" "Bacteria" "Planctomycetota" "Phycisphaerae" "Tepidisphaerales" "WD2101_soil_group" "WD2101_soil_group_insertae_sedis_genus" "g__WD2101_soil_group_insertae_sedis_genus"
"ASV721" "Bacteria" "Actinomycetota" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "unclassified" "f__Micromonosporaceae"
"ASV722" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Hyphomicrobiales" "Rhizobiaceae" "Zhengella" "g__Zhengella"
"ASV723" "Bacteria" "Bdellovibrionota" "Bdellovibrionia" "Bdellovibrionales" "Pseudobdellovibrionaceae" "Pseudobdellovibrionaceae_insertae_sedis_genus" "g__Pseudobdellovibrionaceae_insertae_sedis_genus"
"ASV724" "Bacteria" "Bacillota" "Limnochordia" "unclassified" "unclassified" "unclassified" "c__Limnochordia"
"ASV725" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Neobacillus" "g__Neobacillus"
"ASV726" "Bacteria" "Bacillota" "Clostridia" "Clostridia_vadinBB60_group" "Clostridia_vadinBB60_group_insertae_sedis_family" "Clostridia_vadinBB60_group_insertae_sedis_genus" "g__Clostridia_vadinBB60_group_insertae_sedis_genus"
